Sr_no,EDB_ZAMENSKI,oznakaEDB,dejnost,return_no,ID,pol_mz,godinaEMBG,Gross_income,Social_Security_Contributions,Tax_Relief,PDD,NETO,VIDISPLATA1,CALC,NORMIRANI,DANOCNA_OSNOVA
5,2.64E+11,PL,82.99,1,340253,M,1990,372605,100603,81578,19042,252960,1,1,0,190420
6,3.04E+12,PL,88.91,1,210834,Z,1985,259620,70095,89373,10018,179507,1,1,0,100180
7,1.79E+12,PL,68.32,1,315327,Z,1981,189177,51082,82016,5605,132490,1,1,0,56050
11,6.34E+12,PL,88.99,1,106342,Z,1956,479139,129375,89373,26038,323726,1,1,0,260380
12,3.43E+12,PL,46.44,1,962874,M,1955,222660,60120,67104,9540,153000,1,1,0,95400
13,2.67E+12,PL,49.41,1,686469,M,1957,291336,78664,89472,12324,200348,1,1,0,123240
14,6.55E+12,PL,14.13,1,478814,Z,1968,205414,55464,89472,6044,143906,1,1,0,60440
15,4.97E+12,PL,84.24,1,397956,M,1994,541064,146086,89373,30561,364417,1,1,0,305610
18,4.66E+12,PL,16.29,1,762084,M,1994,197710,53750,89373,5460,138500,1,1,0,54600
21,8.40E+11,PL,1.13,1,564879,M,1970,214079,57930,89373,6676,149473,1,1,0,66760
22,9.88E+12,PL,1.13,1,875323,M,1958,252828,68368,89373,9509,174951,1,1,0,95090
23,3.76E+12,PL,86.1,1,296947,Z,1970,689592,186198,89472,41394,462000,1,1,0,413940
24,8.03E+12,PL,41.2,1,691615,M,1979,200072,54012,89472,5660,140400,1,1,0,56600
27,3.91E+11,SVD,47.11,1,740554,M,1982,46161,12462,20131,1358,32341,1,1,0,13580
30,6.06E+12,PL,68.2,1,890098,M,1976,9116,2461,1775,488,6167,1,1,0,4880
31,6.38E+12,PL,38.11,1,561690,M,1953,375665,101432,74560,19968,254265,1,1,0,199680
33,A722484818257,PL,62.01,1,435506,M,1977,516819,139545,52192,32508,344766,1,1,0,325080
36,9.91E+12,PL,14.13,1,6024,Z,1962,164447,46310,70022,4812,113325,1,1,0,48120
40,1.17E+12,PL,73.11,1,92747,Z,1981,196809,53137,81917,6172,137500,1,1,0,61720
41,7.43E+11,PL,84.22,1,151855,M,1988,354391,95687,89373,16932,241772,1,1,0,169320
43,2.64E+11,PL,82.99,1,715530,M,1961,272858,73670,62467,13673,185515,1,1,0,136730
44,A809112239979,PL,49.41,1,980244,M,1996,58950,15918,14912,2812,40220,1,1,0,28120
46,6.50E+12,PL,45.32,1,151839,Z,1987,68026,18367,18051,3163,46496,1,1,0,31630
49,2.64E+12,PL,14.13,1,407152,Z,1978,253814,68523,89373,9591,175700,1,1,0,95910
52,2.70E+12,PL,14.13,1,628541,Z,1963,176602,50489,82016,4411,121702,1,1,0,44110
56,1.81E+12,PL,10.39,1,129356,Z,1967,93204,25165,39652,2839,65200,1,1,0,28390
65,4.52E+12,PL,61.2,1,24238,Z,1986,559383,151025,76051,33233,375125,1,1,0,332330
66,5.86E+12,PL,84.12,1,522612,Z,1985,74636,19780,35317,1954,52902,1,1,0,19540
67,5.13E+12,PL,47.19,1,914916,M,1966,28393,8433,14166,579,19381,1,1,0,5790
68,7.14E+12,PL,56.1,1,837153,Z,1962,4079,1101,1775,120,2858,1,1,0,1200
74,7.09E+12,PL,78.2,1,930344,M,1975,180194,50471,82016,4768,124955,1,1,0,47680
76,3.91E+12,PL,85.31,1,1802,Z,1958,227346,61377,89373,7660,158309,1,1,0,76600
78,2.78E+12,PL,1.3,1,814468,Z,1990,2132,576,645,156,1400,1,1,0,1560
82,4.65E+12,PL,47.91,1,979733,Z,1995,18746,5284,8653,481,12981,1,1,0,4810
83,2.34E+12,PL,11.02,1,502430,M,1976,2087365,481881,33730,157175,1448309,1,1,0,1571750
84,7.51E+12,PL,47.41,1,522329,M,1979,201292,54347,89472,5745,141200,1,1,0,57450
85,2.54E+12,PL,47.54,1,902995,M,1956,565586,152714,89373,32350,380522,1,1,0,323500
87,7.10E+12,PL,92,1,309617,Z,1989,284259,76750,75817,13170,194339,1,1,0,131700
91,8.85E+12,PL,7.29,1,753109,Z,1987,1091223,294626,43719,75289,721308,1,1,0,752890
92,6.11E+12,PL,1.46,1,742220,M,1962,101196,27320,44736,2916,70960,1,1,0,29160
95,4.23E+12,PL,52.29,1,501655,Z,1956,339536,91676,89472,15840,232020,1,1,0,158400
97,2.18E+12,PL,14.13,1,195184,Z,1983,320390,86505,89093,14479,219406,1,1,0,144790
100,6.07E+12,PL,46.45,1,349424,Z,1989,136705,36910,57055,4275,95520,1,1,0,42750
101,6.25E+12,PL,28.13,1,394052,M,1956,388231,104824,89373,19403,264004,1,1,0,194030
102,3.01E+12,PL,14.13,1,65938,Z,1960,223349,60502,89373,7347,155500,1,1,0,73470
103,4.29E+12,PL,14.13,1,746800,Z,1971,161230,47414,78189,3564,110252,1,1,0,35640
105,7.37E+12,PL,80.1,1,767063,M,1993,219125,59164,89373,7060,152901,1,1,0,70600
106,9.23E+12,PL,69.2,1,407240,Z,1980,232347,62744,82032,8755,160848,1,1,0,87550
107,9.14E+12,PL,86.22,1,402350,M,1980,169873,49382,82016,3851,116640,1,1,0,38510
108,8.85E+12,PL,56.1,1,619990,Z,1967,200041,54018,89472,5655,140368,1,1,0,56550
109,6.58E+11,PL,41.2,1,613842,M,1960,222033,59950,89373,7271,154812,1,1,0,72710
110,5.28E+12,PL,90.04,1,848575,M,1981,325956,88002,89373,14854,223100,1,1,0,148540
111,8.24E+12,PL,84.11,1,580669,Z,1992,228223,61623,89373,7718,158882,1,1,0,77180
114,7.56E+12,PL,86.21,1,518992,M,1957,360966,97458,89373,17415,246093,1,1,0,174150
116,2.45E+12,PL,36,1,533975,M,1960,418068,112875,82016,22320,282873,1,1,0,223200
119,5.86E+12,PL,84.12,1,901972,Z,1987,80034,21207,18107,4071,54753,1,1,0,40710
121,6.23E+12,PL,33.12,1,875731,M,1969,160322,43288,52192,6484,110550,1,1,0,64840
135,5.59E+12,PL,45.32,1,647934,Z,1961,202070,54561,89373,5809,141700,1,1,0,58090
136,6.90E+12,PL,23.7,1,432046,M,1961,212885,57473,89373,6601,148811,1,1,0,66010
142,9.58E+12,PL,43.39,1,645790,M,1965,223080,60244,89472,7336,155500,1,1,0,73360
144,5.59E+12,PL,8.11,1,325552,M,1985,553913,149556,89373,31499,372858,1,1,0,314990
147,2.75E+12,PL,47.71,1,826272,Z,1984,214090,62450,104087,4760,146880,1,1,0,47600
151,2.15E+11,PL,49.41,1,425784,M,1993,200024,54004,89472,5652,140368,1,1,0,56520
152,5.86E+12,PL,84.12,1,80157,Z,1989,22114,5859,8713,755,15500,1,1,0,7550
153,7.10E+12,PL,92,1,337660,Z,1986,214807,57997,53158,10365,146445,1,1,0,103650
154,6.64E+12,PL,56.1,1,61536,M,1982,420898,114087,89472,21731,285080,1,1,0,217310
155,1.99E+12,PL,8.11,1,203027,M,1983,194288,54020,89428,5084,135184,1,1,0,50840
157,3.33E+12,PL,69.2,1,896205,M,1968,46792,13504,22368,1088,32200,1,1,0,10880
158,1.75E+12,PL,36,1,229173,M,1955,382077,103161,89373,18954,259962,1,1,0,189540
160,1.67E+12,PL,14.13,1,814494,Z,1991,239075,64616,89373,8508,165951,1,1,0,85080
162,2.61E+11,PL,64.19,1,738074,Z,1983,426367,115123,66731,24451,286793,1,1,0,244510
164,9.98E+12,PL,14.13,1,137226,M,1974,162465,43078,64727,4886,114501,1,1,0,48860
165,8.67E+12,PL,1.49,1,481399,Z,1964,138967,37524,55188,4625,96818,1,1,0,46250
169,7.65E+12,PL,62.09,1,390364,Z,1985,211785,57182,89373,6523,148080,1,1,0,65230
171,4.41E+12,PL,84.11,1,6708,Z,1974,458740,123863,88017,24687,310190,1,1,0,246870
173,A647115068972,PL,47.11,1,969522,M,1990,160549,43351,71318,4586,112612,1,1,0,45860
174,5.13E+12,PL,22.29,1,904457,M,1993,489797,132242,82016,27555,330000,1,1,0,275550
178,5.20E+12,PL,43.99,1,679275,M,1962,18975,5194,0,1378,12403,1,1,0,13780
179,1.79E+12,PL,61.2,1,599880,Z,1981,894098,241411,89472,56321,596366,1,1,0,563210
180,3.29E+12,PL,86.21,1,880875,Z,1981,238574,64412,89373,8476,165686,1,1,0,84760
186,4.98E+12,PL,46.31,1,987209,Z,1990,87326,23581,39410,2431,61314,1,1,0,24310
187,8.60E+11,PL,86.21,1,664957,Z,1968,211179,57015,89373,6475,147689,1,1,0,64750
188,9.69E+11,PL,52.21,1,32748,M,1962,214680,57960,89472,6720,150000,1,1,0,67200
189,8.57E+12,PL,85.2,1,397008,Z,1972,396897,107163,89373,20035,269699,1,1,0,200350
190,4.23E+12,PL,86.22,1,651095,Z,1977,588497,158892,89373,34023,395582,1,1,0,340230
196,A893277368986,PL,47.99,1,524485,Z,1973,424824,114704,42251,26786,283334,1,1,0,267860
197,6.32E+12,PL,85.42,1,185825,M,1987,244146,65921,45060,13315,164910,1,1,0,133150
198,2.31E+12,PL,#N/A,1,576778,M,1957,916534,247472,89373,57970,611092,1,1,0,579700
200,4.50E+12,SVD,47.71,1,481974,M,1976,199993,54003,89373,5662,140328,1,1,0,56620
201,4.46E+12,PL,84.13,1,75709,Z,1957,340987,92064,89373,15956,232967,1,1,0,159560
206,7.81E+11,PL,13.3,1,504476,Z,1968,144832,45898,69815,3234,95700,1,1,0,32340
207,5.86E+12,PL,84.12,1,515174,Z,1986,78134,20704,23814,3362,54067,1,1,0,33620
208,5.86E+12,PL,84.12,1,48058,Z,1978,124533,32999,24641,6689,84844,1,1,0,66890
209,3.49E+12,PL,29.31,1,238380,M,1978,214878,60834,79784,7426,146618,1,1,0,74260
210,3.29E+12,PL,78.2,1,640917,Z,1963,206435,55745,89373,6132,144558,1,1,0,61320
